Region,Module,File Name,Number of Rows,Number of Columns,Column Names,Source URL
amazonas,REC01,C:/Users/jcbur/OneDrive - peruvianbusinesscouncil.com/Ajayu/Data/cenagro2012/amazonas\REC01\REC01.csv,69811,54,TIPO_REC; P001; P002; P003; P007X; P008; NPRIN; P016; P017; P018; P019; P019_01; P020_01; P021; P022; P022_01; RESULTADO; WREGION; WPISO; WREDHI; WCUENCA; WSUP01; WSUP02; WSUP02A; WSUP03; WSUP03A; WSUP03B; WSUP04; WSUP05; WSUP06; WSUP07; WSUP08; WSUP09; WSUP10; WSUP11; WSUP12; WSUP13; WSUP14; WSUP15; WSUP16; WSUP17; WSUP18; WP109; WP111; WP112; WP113; WP114; WP115; WALTITUD; WSUP08A; WSUP08B; WSUP19; LONG_DECI; LAT_DECI,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/337-Modulo229.zip
amazonas,REC01A,C:/Users/jcbur/OneDrive - peruvianbusinesscouncil.com/Ajayu/Data/cenagro2012/amazonas\REC01A\REC01A.csv,4483,10,TIPO_REC; P001; P002; P003; P007X; P008; NPRIN; P023_01; P023_04; P023_07,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/337-Modulo230.zip
amazonas,REC02,C:/Users/jcbur/OneDrive - peruvianbusinesscouncil.com/Ajayu/Data/cenagro2012/amazonas\REC02\REC02.csv,442173,17,TIPO_REC; P001; P002; P003; P007X; P008; NPRIN; NPARCX; P024_01; P024_03; P025; P026; P027; P028; P029_01; P029_02; P029_03,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/337-Modulo231.zip
amazonas,REC02A,C:/Users/jcbur/OneDrive - peruvianbusinesscouncil.com/Ajayu/Data/cenagro2012/amazonas\REC02A\REC02A.csv,134336,28,TIPO_REC; P001; P002; P003; P007X; P008; NPRIN; NPARCY; P036; P037_01_01; P037_01_02; P037_01_03; P037_02_01; P037_02_02; P037_03_01; P037_03_02; P037_04_01; P037_04_02; P037_05_01; P037_05_02; P037_SS; P038_01; P038_02; P038_03; P038_04; P039_01; P039_03; P040,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/337-Modulo232.zip
amazonas,REC02B,C:/Users/jcbur/OneDrive - peruvianbusinesscouncil.com/Ajayu/Data/cenagro2012/amazonas\REC02B\REC02B.csv,114221,11,TIPO_REC; P001; P002; P003; P007X; P008; NPRIN; NPARCZ; P041_01; P041_03; P041_04,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/337-Modulo233.zip
amazonas,REC03,C:/Users/jcbur/OneDrive - peruvianbusinesscouncil.com/Ajayu/Data/cenagro2012/amazonas\REC03\REC03.csv,71107,12,TIPO_REC; P001; P002; P003; P007X; P008; NPRIN; P042_01; P042_03; P042_04; P043; P044_01,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/337-Modulo234.zip
amazonas,REC04,C:/Users/jcbur/OneDrive - peruvianbusinesscouncil.com/Ajayu/Data/cenagro2012/amazonas\REC04\REC04.csv,69562,123,TIPO_REC; P001; P002; P003; P007X; P008; NPRIN; P_RIEGO; P045_01; P045_02; P045_03; P045_04; P045_05; P045_06; P045_07; P046_01_01; P046_01_02; P046_02_01; P046_02_02; P046_03; P047_01; P047_02; P047_03; P048; P048_01; P049; P050; P051; P052; P053; P054_01; P054_02; P054_03; P054_04; P055_01; P055_02; P055_03; P055_04; P055_05; P055_06; P055_07; P055_08; P056; P057; P058_01_01; P058_01_03; P058_02_01; P058_02_03; P058_03_01; P058_03_03; P058_04_01; P058_04_03; P059; P060_01; P060_02; P060_03; P060_04; P060_05; P061; P062_01; P062_02; P063; P064_01; P064_02; P065_01_01; P065_01_02; P065_01_03; P065_02_01; P065_02_02; P065_02_03; P065_03_01; P065_03_02; P065_03_03; P065_04_01; P065_04_02; P065_04_03; P065_05_01; P065_05_02; P065_05_03; P065_06_01; P065_06_02; P065_06_03; P065_07_01; P065_07_02; P065_07_03; P065_08_01; P065_08_02; P065_08_03; P065_09_01; P065_09_02; P065_09_03; P065_10_01; P065_10_02; P065_10_03; P065_11_01; P065_11_02; P065_11_03; P065_12_01; P065_12_02; P065_12_03; P065_13_01; P065_13_02; P065_13_03; P065_14_01; P065_14_02; P065_14_03; P065_15_01; P065_15_02; P065_15_03; P066; P066_01; P068; P069; P069_01; P071; P071_01; P073; P073_01; P077; P077_01; P078_01; P078_02; P060_06,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/337-Modulo235.zip
amazonas,REC04A,C:/Users/jcbur/OneDrive - peruvianbusinesscouncil.com/Ajayu/Data/cenagro2012/amazonas\REC04A\REC04A.csv,251268,15,TIPO_REC; P001; P002; P003; P007X; P008; NPRIN; P067_01; P067_02; P067_03; P067_04; P067_05; P067_06; P067_07; P067_08,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/337-Modulo236.zip
amazonas,REC04B,C:/Users/jcbur/OneDrive - peruvianbusinesscouncil.com/Ajayu/Data/cenagro2012/amazonas\REC04B\REC04B.csv,69562,150,TIPO_REC; P001; P002; P003; P007X; P008; NPRIN; P_PEC; P079; P080; P081; P082; P083; P084; P085_01; P085_02; P085_03; P085_04; P085_05; P085_06; P085_07; P085_08; P085_09; P086_01; P086_02; P086_03; P087_01; P087_02; P087_03; P087_04; P087_05; P088_01; P088_02; P088_03; P088_04; P088_05; P088_06; P088_07; P088_08; P088_09; P088_10; P088_11; P088_12; P088_13; P088_14; P088_15; P088_16; P089_01; P089_02; P089_03; P089_04; P089_05; P089_06; P090; P091_01; P091_02; P091_03; P091_04; P091_05; P091_06; P091_07; P091_08; P091_09; P091_10; P091_11; P091_12; P091_13; P092; P093_01; P093_02; P093_03; P093_04; P093_05; P093_06; P093_07; P093_08; P093_09; P093_10; P093_11; P093_12; P093_13; P094_01; P094_02; P094_03; P094_04; P094_05; P095; P096; P097; P098; P099_01_01; P099_01_02; P099_01_03; P099_02_01; P099_02_02; P099_02_03; P100_01_01; P100_01_02; P100_02_01; P100_02_02; P100_03_01; P100_03_02; P100_04_01; P100_04_02; P100_05_01; P100_05_02; P100_06_01; P100_06_02; P100_07_01; P100_07_02; P100_08_01; P100_08_02; P100_09_01; P100_09_02; P100_10_01; P100_10_02; P100_11_01; P100_11_02; P100_12_01; P100_12_02; P100_13_01; P100_13_02; P101; P102_01; P102_01_CO; P102_02; P102_02_CO; P102_03; P102_03_CO; P103_01; P103_02; P103_03; P103_04; P103_05; P103_06; P103_07; P104_01; P104_02; P104_03; P104_04; P104_05; P104_06; P105; P106; P107; P094_06; P094_07; P094_08; P103_08; P108X,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/337-Modulo237.zip
amazonas,REC05,C:/Users/jcbur/OneDrive - peruvianbusinesscouncil.com/Ajayu/Data/cenagro2012/amazonas\REC05\REC05.csv,258710,15,TIPO_REC; P001; P002; P003; P007X; P008; NPRIN; P109; P110; P111; P112; P113; P114; P115; P116,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/337-Modulo238.zip
amazonas,REC05A,C:/Users/jcbur/OneDrive - peruvianbusinesscouncil.com/Ajayu/Data/cenagro2012/amazonas\REC05A\REC05A.csv,69109,19,TIPO_REC; P001; P002; P003; P007X; P008; NPRIN; P117_01; P117_02; P117_03; P117_04; P117_05; P117_06; P118; P119; P120_01; P120_02; P121; P121_01,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/337-Modulo239.zip
